DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,11,0
03/01/2020 12:00:00 AM,1,4,0
03/02/2020 12:00:00 AM,0,22,0
03/03/2020 12:00:00 AM,2,20,0
03/04/2020 12:00:00 AM,5,22,0
03/05/2020 12:00:00 AM,3,20,0
03/06/2020 12:00:00 AM,8,18,0
03/07/2020 12:00:00 AM,7,15,0
03/08/2020 12:00:00 AM,21,18,0
03/09/2020 12:00:00 AM,58,49,0
03/10/2020 12:00:00 AM,70,63,0
03/11/2020 12:00:00 AM,154,89,1
03/12/2020 12:00:00 AM,357,87,0
03/13/2020 12:00:00 AM,620,149,0
03/14/2020 12:00:00 AM,644,155,2
03/15/2020 12:00:00 AM,"1,034",189,5
03/16/2020 12:00:00 AM,"2,123",309,9
03/17/2020 12:00:00 AM,"2,455",353,8
03/18/2020 12:00:00 AM,"2,983",463,20
03/19/2020 12:00:00 AM,"3,714",551,24
03/20/2020 12:00:00 AM,"4,014",662,46
03/21/2020 12:00:00 AM,"2,639",696,44
03/22/2020 12:00:00 AM,"2,581",727,50
03/23/2020 12:00:00 AM,"3,569","1,039",82
03/24/2020 12:00:00 AM,"4,504","1,144",94
03/25/2020 12:00:00 AM,"4,846","1,296",120
03/26/2020 12:00:00 AM,"5,025","1,437",186
03/27/2020 12:00:00 AM,"5,103","1,379",212
03/28/2020 12:00:00 AM,"3,465","1,349",265
03/29/2020 12:00:00 AM,"3,530","1,388",285
03/30/2020 12:00:00 AM,"6,120","1,690",321
03/31/2020 12:00:00 AM,"5,445","1,678",372
04/01/2020 12:00:00 AM,"5,445","1,575",431
04/02/2020 12:00:00 AM,"5,761","1,613",487
04/03/2020 12:00:00 AM,"5,670","1,599",484
04/04/2020 12:00:00 AM,"3,865","1,342",488
04/05/2020 12:00:00 AM,"3,784","1,325",568
04/06/2020 12:00:00 AM,"6,375","1,718",564
04/07/2020 12:00:00 AM,"6,064","1,597",589
04/08/2020 12:00:00 AM,"5,581","1,533",547
04/09/2020 12:00:00 AM,"5,067","1,425",537
04/10/2020 12:00:00 AM,"4,510","1,335",518
04/11/2020 12:00:00 AM,"3,727","1,098",527
04/12/2020 12:00:00 AM,"2,881",992,554
04/13/2020 12:00:00 AM,"3,305","1,213",549
04/14/2020 12:00:00 AM,"4,140","1,087",507
04/15/2020 12:00:00 AM,"3,874",985,438
04/16/2020 12:00:00 AM,"3,524",879,399
04/17/2020 12:00:00 AM,"3,577",898,367
04/18/2020 12:00:00 AM,"2,166",658,361
04/19/2020 12:00:00 AM,"2,344",591,374
04/20/2020 12:00:00 AM,"3,784",720,350
04/21/2020 12:00:00 AM,"3,060",658,305
04/22/2020 12:00:00 AM,"3,453",597,298
04/23/2020 12:00:00 AM,"2,842",531,309
04/24/2020 12:00:00 AM,"2,538",547,299
04/25/2020 12:00:00 AM,"1,595",400,242
04/26/2020 12:00:00 AM,"1,004",373,231
04/27/2020 12:00:00 AM,"2,285",444,258
04/28/2020 12:00:00 AM,"2,725",443,218
04/29/2020 12:00:00 AM,"2,342",407,230
04/30/2020 12:00:00 AM,"2,017",340,210
05/01/2020 12:00:00 AM,"1,878",349,205
05/02/2020 12:00:00 AM,"1,058",261,186
05/03/2020 12:00:00 AM,784,256,167
05/04/2020 12:00:00 AM,"1,546",309,150
05/05/2020 12:00:00 AM,"1,511",282,142
05/06/2020 12:00:00 AM,"1,401",257,140
05/07/2020 12:00:00 AM,"1,229",254,132
05/08/2020 12:00:00 AM,"1,085",255,122
05/09/2020 12:00:00 AM,660,182,98
05/10/2020 12:00:00 AM,459,151,92
05/11/2020 12:00:00 AM,"1,231",244,97
05/12/2020 12:00:00 AM,"1,284",203,88
05/13/2020 12:00:00 AM,"1,327",221,73
05/14/2020 12:00:00 AM,"1,111",216,65
05/15/2020 12:00:00 AM,872,228,85
05/16/2020 12:00:00 AM,490,165,77
05/17/2020 12:00:00 AM,361,123,73
05/18/2020 12:00:00 AM,901,178,54
05/19/2020 12:00:00 AM,"1,006",204,51
05/20/2020 12:00:00 AM,"1,069",165,75
05/21/2020 12:00:00 AM,"1,069",172,43
05/22/2020 12:00:00 AM,"1,053",197,62
05/23/2020 12:00:00 AM,463,130,56
05/24/2020 12:00:00 AM,475,121,47
05/25/2020 12:00:00 AM,463,141,45
05/26/2020 12:00:00 AM,"1,049",150,35
05/27/2020 12:00:00 AM,738,163,47
05/28/2020 12:00:00 AM,632,141,35
05/29/2020 12:00:00 AM,637,160,43
05/30/2020 12:00:00 AM,346,94,53
05/31/2020 12:00:00 AM,215,91,40
06/01/2020 12:00:00 AM,664,123,34
06/02/2020 12:00:00 AM,575,128,37
06/03/2020 12:00:00 AM,510,111,39
06/04/2020 12:00:00 AM,502,91,32
06/05/2020 12:00:00 AM,399,64,26
06/06/2020 12:00:00 AM,241,48,32
06/07/2020 12:00:00 AM,190,46,28
06/08/2020 12:00:00 AM,405,57,33
06/09/2020 12:00:00 AM,360,48,30
06/10/2020 12:00:00 AM,308,45,33
06/11/2020 12:00:00 AM,265,36,15
06/12/2020 12:00:00 AM,266,42,15
06/13/2020 12:00:00 AM,134,22,12
06/14/2020 12:00:00 AM,93,21,10
06/15/2020 12:00:00 AM,90,3,4
06/16/2020 12:00:00 AM,10,0,0
